Date;Sales;cost_of_sales;quantity_sold;year;month_number;month_name;year_month;day_of_month;day_of_week;day_name;day_type;price_per_unit;cost_per_unit;gross_profit;gross_profit_percent;gross_profit_per_unit;gross_profit_per_unit_percent;average_unit_sales_price;rolling_average_price
2014/03/02 02:00;478902.304871823230;495554.449923888490;15004;2014;3;Mar;2014/03/01;2;1;Sun;Weekday;31.92;33.03;-16652.15;-3.48;-1.11;-3.48;37.07;32.35
2014/03/03 02:00;538827.202132542620;557567.136984813380;16884;2014;3;Mar;2014/03/01;3;2;Mon;Weekday;31.91;33.02;-18739.93;-3.48;-1.11;-3.48;37.07;32.44
2014/03/04 02:00;310346.121287544720;323325.029927024620;9789;2014;3;Mar;2014/03/01;4;3;Tue;Weekday;31.70;33.03;-12978.91;-4.18;-1.33;-4.18;37.07;32.52
2014/03/05 02:00;256390.522210472320;267308.507082710450;8079;2014;3;Mar;2014/03/01;5;4;Wed;Weekday;31.74;33.09;-10917.98;-4.26;-1.35;-4.26;37.07;32.60
2014/03/06 02:00;167803.659776093820;168135.690006121910;5072;2014;3;Mar;2014/03/01;6;5;Thu;Weekday;33.08;33.15;-332.03;-0.20;-0.07;-0.20;37.07;32.63
2014/03/07 02:00;465318.021511566240;483774.596715292370;14551;2014;3;Mar;2014/03/01;7;6;Fri;Weekday;31.98;33.25;-18456.58;-3.97;-1.27;-3.97;37.07;32.72
2014/03/08 02:00;520146.749639590560;541498.958244596260;16262;2014;3;Mar;2014/03/01;8;7;Sat;Weekday;31.99;33.30;-21352.21;-4.11;-1.31;-4.11;37.07;32.74
2014/03/09 02:00;224699.252819412160;233589.982968319990;7014;2014;3;Mar;2014/03/01;9;1;Sun;Weekday;32.04;33.30;-8890.73;-3.96;-1.27;-3.96;37.07;32.83
2014/03/10 02:00;286230.678896338390;297642.891436459500;8932;2014;3;Mar;2014/03/01;10;2;Mon;Weekday;32.05;33.32;-11412.21;-3.99;-1.28;-3.99;37.07;32.91
2014/03/11 02:00;187143.018062583490;191499.042813207870;5737;2014;3;Mar;2014/03/01;11;3;Tue;Weekday;32.62;33.38;-4356.02;-2.33;-0.76;-2.33;37.07;32.96
2014/03/12 02:00;191700.389128234700;197153.424019060100;5903;2014;3;Mar;2014/03/01;12;4;Wed;Weekday;32.48;33.40;-5453.03;-2.84;-0.92;-2.84;37.07;33.01
2014/03/13 02:00;164663.967602802300;168975.174045440770;5056;2014;3;Mar;2014/03/01;13;5;Thu;Weekday;32.57;33.42;-4311.21;-2.62;-0.85;-2.62;37.07;33.05
2014/03/14 02:00;395941.345132162210;406765.913954023450;12167;2014;3;Mar;2014/03/01;14;6;Fri;Weekday;32.54;33.43;-10824.57;-2.73;-0.89;-2.73;37.07;33.10
2014/03/15 02:00;518183.210374914400;534383.143118608510;15971;2014;3;Mar;2014/03/01;15;7;Sat;Weekday;32.45;33.46;-16199.93;-3.13;-1.01;-3.13;37.07;33.20
2014/03/16 02:00;226617.954940270780;233191.104566222930;6968;2014;3;Mar;2014/03/01;16;1;Sun;Weekday;32.52;33.47;-6573.15;-2.90;-0.94;-2.90;37.07;33.28
2014/03/17 02:00;243707.871947376990;250794.221264094670;7494;2014;3;Mar;2014/03/01;17;2;Mon;Weekday;32.52;33.47;-7086.35;-2.91;-0.95;-2.91;37.07;33.35
2014/03/18 02:00;94849.743799770498;90571.588922976880;2707;2014;3;Mar;2014/03/01;18;3;Tue;Weekday;35.04;33.46;4278.15;4.51;1.58;4.51;37.07;33.42
2014/03/19 02:00;92386.783066575619;88255.840991793899;2637;2014;3;Mar;2014/03/01;19;4;Wed;Weekday;35.03;33.47;4130.94;4.47;1.57;4.47;37.07;33.49
2014/03/20 02:00;180394.827704440160;172344.304439480910;5149;2014;3;Mar;2014/03/01;20;5;Thu;Weekday;35.03;33.47;8050.52;4.46;1.56;4.46;37.07;33.57
2014/03/21 02:00;200939.692363943960;192019.144274927040;5735;2014;3;Mar;2014/03/01;21;6;Fri;Weekday;35.04;33.48;8920.55;4.44;1.56;4.44;37.07;33.65
2014/03/22 02:00;172953.924710440160;165201.305018509850;4936;2014;3;Mar;2014/03/01;22;7;Sat;Weekday;35.04;33.47;7752.62;4.48;1.57;4.48;37.07;33.70
2014/03/23 02:00;70194.799537861210;67061.622709446878;2003;2014;3;Mar;2014/03/01;23;1;Sun;Weekday;35.04;33.48;3133.18;4.46;1.56;4.46;37.07;33.77
2014/03/24 02:00;81378.214631670970;77703.646333683500;2323;2014;3;Mar;2014/03/01;24;2;Mon;Weekday;35.03;33.45;3674.57;4.52;1.58;4.52;37.07;33.87
2014/03/25 02:00;130227.014714578790;127394.289242136160;3822;2014;3;Mar;2014/03/01;25;3;Tue;Weekday;34.07;33.33;2832.73;2.18;0.74;2.18;37.07;33.97
2014/03/26 02:00;125310.036407853800;122275.102582177470;3666;2014;3;Mar;2014/03/01;26;4;Wed;Weekday;34.18;33.35;3034.93;2.42;0.83;2.42;37.07;34.01
2014/03/27 02:00;119452.339634549890;118186.575041227090;3543;2014;3;Mar;2014/03/01;27;5;Thu;Weekday;33.72;33.36;1265.76;1.06;0.36;1.06;37.07;34.03
2014/03/28 02:00;276174.769320283670;271550.895580822540;8130;2014;3;Mar;2014/03/01;28;6;Fri;Weekday;33.97;33.40;4623.87;1.67;0.57;1.67;37.07;34.06
2014/03/29 02:00;357369.266940651230;352250.830074617760;10518;2014;3;Mar;2014/03/01;29;7;Sat;Weekday;33.98;33.49;5118.44;1.43;0.49;1.43;37.07;34.09
2014/03/30 02:00;163865.490272703810;160525.426877713530;4791;2014;3;Mar;2014/03/01;30;1;Sun;Weekday;34.20;33.51;3340.06;2.04;0.70;2.04;37.07;34.11
2014/03/31 02:00;190719.614528600010;187072.595229938310;5583;2014;3;Mar;2014/03/01;31;2;Mon;Weekday;34.16;33.51;3647.02;1.91;0.65;1.91;37.07;34.14
2014/04/01 02:00;244535.205225463670;239700.684797598690;7155;2014;4;Apr;2014/04/01;1;3;Tue;Weekday;34.18;33.50;4834.52;1.98;0.68;1.98;37.07;34.17
2014/04/02 02:00;155620.503788827450;153366.018810552220;4575;2014;4;Apr;2014/04/01;2;4;Wed;Weekday;34.02;33.52;2254.48;1.45;0.49;1.45;37.07;34.19
2014/04/03 02:00;136001.978160077440;134523.068633720370;3997;2014;4;Apr;2014/04/01;3;5;Thu;Weekday;34.03;33.66;1478.91;1.09;0.37;1.09;37.07;34.14
2014/04/04 02:00;190559.887512767430;187742.300011752580;5558;2014;4;Apr;2014/04/01;4;6;Fri;Weekday;34.29;33.78;2817.59;1.48;0.51;1.48;37.07;34.08
2014/04/05 02:00;217110.502529121240;213540.734184193770;6320;2014;4;Apr;2014/04/01;5;7;Sat;Weekday;34.35;33.79;3569.77;1.64;0.56;1.64;37.07;34.03
2014/04/06 02:00;119190.099982556350;116856.314613416220;3447;2014;4;Apr;2014/04/01;6;1;Sun;Weekday;34.58;33.90;2333.79;1.96;0.68;1.96;37.07;33.97
2014/04/07 02:00;131910.197451532440;130784.444709065220;3854;2014;4;Apr;2014/04/01;7;2;Mon;Weekday;34.23;33.93;1125.75;0.85;0.29;0.85;37.07;33.92
2014/04/08 02:00;118921.307676258790;115305.805185445740;3394;2014;4;Apr;2014/04/01;8;3;Tue;Weekday;35.04;33.97;3615.50;3.04;1.07;3.04;37.07;33.92
2014/04/09 02:00;124828.282836808810;121264.703118162830;3563;2014;4;Apr;2014/04/01;9;4;Wed;Weekday;35.03;34.03;3563.58;2.85;1.00;2.85;37.07;33.92
2014/04/10 02:00;179326.490228096370;183278.502426986440;5380;2014;4;Apr;2014/04/01;10;5;Thu;Weekday;33.33;34.07;-3952.01;-2.20;-0.73;-2.20;37.07;33.94
2014/04/11 02:00;318949.817056160010;326322.526012260230;9573;2014;4;Apr;2014/04/01;11;6;Fri;Weekday;33.32;34.09;-7372.71;-2.31;-0.77;-2.31;37.07;33.95
2014/04/12 02:00;375031.109322689010;383727.194012924270;11250;2014;4;Apr;2014/04/01;12;7;Sat;Weekday;33.34;34.11;-8696.08;-2.32;-0.77;-2.32;37.07;33.99
2014/04/13 02:00;166393.540705272720;170061.864146522680;4990;2014;4;Apr;2014/04/01;13;1;Sun;Weekday;33.35;34.08;-3668.32;-2.20;-0.74;-2.20;37.07;34.01
2014/04/14 02:00;193652.327767828950;198212.068729968360;5810;2014;4;Apr;2014/04/01;14;2;Mon;Weekday;33.33;34.12;-4559.74;-2.35;-0.78;-2.35;37.07;34.03
2014/04/15 02:00;249805.517213491370;255956.654035288520;7497;2014;4;Apr;2014/04/01;15;3;Tue;Weekday;33.32;34.14;-6151.14;-2.46;-0.82;-2.46;37.07;34.07
2014/04/16 02:00;294023.410888050160;301522.352254371390;8821;2014;4;Apr;2014/04/01;16;4;Wed;Weekday;33.33;34.18;-7498.94;-2.55;-0.85;-2.55;37.07;34.10
2014/04/17 02:00;612236.005797237740;627927.758673389680;18366;2014;4;Apr;2014/04/01;17;5;Thu;Weekday;33.34;34.19;-15691.75;-2.56;-0.85;-2.56;37.07;34.15
2014/04/18 02:00;464815.517868546940;476692.543694408900;13940;2014;4;Apr;2014/04/01;18;6;Fri;Weekday;33.34;34.20;-11877.03;-2.56;-0.85;-2.56;37.07;34.20
2014/04/19 02:00;360480.940449537770;369765.612763224690;10814;2014;4;Apr;2014/04/01;19;7;Sat;Weekday;33.33;34.19;-9284.67;-2.58;-0.86;-2.58;37.07;34.24
2014/04/20 02:00;114279.577253769530;117190.826154166700;3429;2014;4;Apr;2014/04/01;20;1;Sun;Weekday;33.33;34.18;-2911.25;-2.55;-0.85;-2.55;37.07;34.27
2014/04/21 02:00;161170.820402730170;165415.083845503740;4834;2014;4;Apr;2014/04/01;21;2;Mon;Weekday;33.34;34.22;-4244.26;-2.63;-0.88;-2.63;37.07;34.32
2014/04/22 02:00;182483.146495305180;187344.737171658230;5475;2014;4;Apr;2014/04/01;22;3;Tue;Weekday;33.33;34.22;-4861.59;-2.66;-0.89;-2.66;37.07;34.31
2014/04/23 02:00;109358.412529019520;106849.898795565950;3121;2014;4;Apr;2014/04/01;23;4;Wed;Weekday;35.04;34.24;2508.51;2.29;0.80;2.29;37.07;34.36
2014/04/24 02:00;98430.114109290502;96197.482231430811;2809;2014;4;Apr;2014/04/01;24;5;Thu;Weekday;35.04;34.25;2232.63;2.27;0.79;2.27;37.07;34.28
2014/04/25 02:00;295741.346961882610;292327.028255683950;8537;2014;4;Apr;2014/04/01;25;6;Fri;Weekday;34.64;34.24;3414.32;1.15;0.40;1.15;37.07;34.20
2014/04/26 02:00;285053.979933127590;281159.581123412990;8209;2014;4;Apr;2014/04/01;26;7;Sat;Weekday;34.72;34.25;3894.40;1.37;0.47;1.37;37.07;34.17
2014/04/27 02:00;124964.796468058800;123042.158952897560;3592;2014;4;Apr;2014/04/01;27;1;Sun;Weekday;34.79;34.25;1922.64;1.54;0.54;1.54;37.07;34.14
2014/04/28 02:00;124175.808352158800;122516.065704202530;3576;2014;4;Apr;2014/04/01;28;2;Mon;Weekday;34.72;34.26;1659.74;1.34;0.46;1.34;37.07;34.11
2014/04/29 02:00;131842.571632243780;130405.263858171120;3807;2014;4;Apr;2014/04/01;29;3;Tue;Weekday;34.63;34.25;1437.31;1.09;0.38;1.09;37.07;34.07
2014/04/30 02:00;154850.057257681360;150644.348240667230;4398;2014;4;Apr;2014/04/01;30;4;Wed;Weekday;35.21;34.25;4205.71;2.72;0.96;2.72;37.07;34.03
2014/05/01 02:00;180294.268730027570;175656.650393213260;5124;2014;5;May;2014/05/01;1;5;Thu;Weekday;35.19;34.28;4637.62;2.57;0.91;2.57;37.07;33.99
2014/05/02 02:00;163849.035829681380;157300.625596072000;4581;2014;5;May;2014/05/01;2;6;Fri;Weekday;35.77;34.34;6548.41;4.00;1.43;4.00;37.07;33.96
2014/05/03 02:00;131436.792447441370;127601.944725939810;3697;2014;5;May;2014/05/01;3;7;Sat;Weekday;35.55;34.51;3834.85;2.92;1.04;2.92;37.07;33.92
2014/05/04 02:00;93082.043956892812;91601.506543395022;2642;2014;5;May;2014/05/01;4;1;Sun;Weekday;35.23;34.67;1480.54;1.59;0.56;1.59;37.07;33.90
2014/05/05 02:00;110887.013297212220;109460.153222670600;3154;2014;5;May;2014/05/01;5;2;Mon;Weekday;35.16;34.71;1426.86;1.29;0.45;1.29;37.07;33.86
2014/05/06 02:00;119385.575367956860;115693.106641847830;3324;2014;5;May;2014/05/01;6;3;Tue;Weekday;35.92;34.81;3692.47;3.09;1.11;3.09;37.07;33.82
2014/05/07 02:00;91719.589378837452;93157.170582525898;2677;2014;5;May;2014/05/01;7;4;Wed;Weekday;34.26;34.80;-1437.58;-1.57;-0.54;-1.57;37.07;33.83
2014/05/08 02:00;96335.448951387458;93696.216137213793;2683;2014;5;May;2014/05/01;8;5;Thu;Weekday;35.91;34.92;2639.23;2.74;0.98;2.74;37.07;33.79
2014/05/09 02:00;303226.298354254450;325836.940113892370;9328;2014;5;May;2014/05/01;9;6;Fri;Weekday;32.51;34.93;-22610.64;-7.46;-2.42;-7.46;37.07;33.70
2014/05/10 02:00;431695.709167380060;465253.815715587990;13306;2014;5;May;2014/05/01;10;7;Sat;Weekday;32.44;34.97;-33558.11;-7.77;-2.52;-7.77;37.07;33.62
2014/05/11 02:00;200407.277067542160;215907.824912829090;6173;2014;5;May;2014/05/01;11;1;Sun;Weekday;32.47;34.98;-15500.55;-7.73;-2.51;-7.73;37.07;33.54
2014/05/12 02:00;183413.708347735960;197835.495083797810;5653;2014;5;May;2014/05/01;12;2;Mon;Weekday;32.45;35.00;-14421.79;-7.86;-2.55;-7.86;37.07;33.46
2014/05/13 02:00;146166.601124782290;157693.189300526980;4503;2014;5;May;2014/05/01;13;3;Tue;Weekday;32.46;35.02;-11526.59;-7.89;-2.56;-7.89;37.07;33.37
2014/05/14 02:00;201120.727640814730;218098.761888011070;6253;2014;5;May;2014/05/01;14;4;Wed;Weekday;32.16;34.88;-16978.03;-8.44;-2.72;-8.44;37.07;33.29
2014/05/15 02:00;270123.550823328380;289864.798474272250;8408;2014;5;May;2014/05/01;15;5;Thu;Weekday;32.13;34.47;-19741.25;-7.31;-2.35;-7.31;37.07;33.21
2014/05/16 02:00;415315.383948247360;441790.767227227330;12949;2014;5;May;2014/05/01;16;6;Fri;Weekday;32.07;34.12;-26475.38;-6.37;-2.04;-6.37;37.07;33.12
2014/05/17 02:00;498716.997555014100;526707.376961645200;15508;2014;5;May;2014/05/01;17;7;Sat;Weekday;32.16;33.96;-27990.38;-5.61;-1.80;-5.61;37.07;33.02
2014/05/18 02:00;166433.172129259740;174376.632474618440;5141;2014;5;May;2014/05/01;18;1;Sun;Weekday;32.37;33.92;-7943.46;-4.77;-1.55;-4.77;37.07;32.90
2014/05/19 02:00;168520.629367428510;175540.115518245230;5194;2014;5;May;2014/05/01;19;2;Mon;Weekday;32.45;33.80;-7019.49;-4.17;-1.35;-4.17;37.07;32.79
2014/05/20 02:00;178123.532109534720;187748.172202197400;5550;2014;5;May;2014/05/01;20;3;Tue;Weekday;32.09;33.83;-9624.64;-5.40;-1.73;-5.40;37.07;32.69
2014/05/21 02:00;194878.802634630930;204460.665377442810;6070;2014;5;May;2014/05/01;21;4;Wed;Weekday;32.11;33.68;-9581.86;-4.92;-1.58;-4.92;37.07;32.59
2014/05/22 02:00;115475.096896259750;115011.322608831690;3421;2014;5;May;2014/05/01;22;5;Thu;Weekday;33.75;33.62;463.77;0.40;0.14;0.40;37.07;32.46
2014/05/23 02:00;430521.024538655070;449274.186258365520;13384;2014;5;May;2014/05/01;23;6;Fri;Weekday;32.17;33.57;-18753.16;-4.36;-1.40;-4.36;37.07;32.39
2014/05/24 02:00;590642.825660643750;614245.794149527440;18356;2014;5;May;2014/05/01;24;7;Sat;Weekday;32.18;33.46;-23602.97;-4.00;-1.29;-4.00;37.07;32.27
